"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 17:58:44 GMT 2023","Mon Nov 27 17:58:46 GMT 2023","1490","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Mon Nov 27 17:58:40 GMT 2023","Mon Nov 27 17:58:41 GMT 2023","953","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","firstTest","firstTest",""
"passed","Mon Nov 27 17:58:40 GMT 2023","Mon Nov 27 17:58:40 GMT 2023","52","Command line suite","Command line test","exampleForYourSite1.exampleForYourSite.GooglePageTest","exampleForYourSite1.exampleForYourSite.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Mon Nov 27 17:58:37 GMT 2023","Mon Nov 27 17:58:38 GMT 2023","1102","Command line suite","Command line test","exampleForYourSite1.exampleForYourSite.GooglePageTest","exampleForYourSite1.exampleForYourSite.GooglePageTest","firstTest","firstTest",""
"passed","Mon Nov 27 17:58:41 GMT 2023","Mon Nov 27 17:58:43 GMT 2023","2230","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Mon Nov 27 17:58:44 GMT 2023","Mon Nov 27 17:58:44 GMT 2023","473","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","firstTest","firstTest",""
"passed","Mon Nov 27 17:58:43 GMT 2023","Mon Nov 27 17:58:44 GMT 2023","197","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Mon Nov 27 17:58:46 GMT 2023","Mon Nov 27 17:58:46 GMT 2023","23","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Mon Nov 27 17:58:38 GMT 2023","Mon Nov 27 17:58:40 GMT 2023","1680","Command line suite","Command line test","exampleForYourSite1.exampleForYourSite.GooglePageTest","exampleForYourSite1.exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
