"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 18:16:57 GMT 2023","Mon Nov 27 18:16:57 GMT 2023","47","Command line suite","Command line test","exampleForYourSite1.exampleForYourSite.GooglePageTest","exampleForYourSite1.exampleForYourSite.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Mon Nov 27 18:17:00 GMT 2023","Mon Nov 27 18:17:01 GMT 2023","669","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","firstTest","firstTest",""
"passed","Mon Nov 27 18:16:55 GMT 2023","Mon Nov 27 18:16:57 GMT 2023","1651","Command line suite","Command line test","exampleForYourSite1.exampleForYourSite.GooglePageTest","exampleForYourSite1.exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Mon Nov 27 18:17:03 GMT 2023","Mon Nov 27 18:17:03 GMT 2023","34","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Mon Nov 27 18:17:00 GMT 2023","Mon Nov 27 18:17:00 GMT 2023","252","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Mon Nov 27 18:16:54 GMT 2023","Mon Nov 27 18:16:55 GMT 2023","967","Command line suite","Command line test","exampleForYourSite1.exampleForYourSite.GooglePageTest","exampleForYourSite1.exampleForYourSite.GooglePageTest","firstTest","firstTest",""
"passed","Mon Nov 27 18:16:58 GMT 2023","Mon Nov 27 18:17:00 GMT 2023","1723","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Mon Nov 27 18:17:01 GMT 2023","Mon Nov 27 18:17:03 GMT 2023","1651","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Mon Nov 27 18:16:57 GMT 2023","Mon Nov 27 18:16:58 GMT 2023","751","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","firstTest","firstTest",""
