"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 16:40:48 GMT 2023","Mon Nov 27 16:40:50 GMT 2023","2477","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Mon Nov 27 16:40:47 GMT 2023","Mon Nov 27 16:40:48 GMT 2023","489","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","firstTest","firstTest",""
"passed","Mon Nov 27 16:40:47 GMT 2023","Mon Nov 27 16:40:47 GMT 2023","40","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Mon Nov 27 16:40:45 GMT 2023","Mon Nov 27 16:40:47 GMT 2023","2048","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Mon Nov 27 16:40:44 GMT 2023","Mon Nov 27 16:40:45 GMT 2023","1064","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","firstTest","firstTest",""
"passed","Mon Nov 27 16:40:50 GMT 2023","Mon Nov 27 16:40:50 GMT 2023","24","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchTResultTest","searchTResultTest",""
