"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 01 16:43:20 GMT 2023","Fri Dec 01 16:43:22 GMT 2023","1430","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","firstTest","firstTest",""
"passed","Fri Dec 01 16:43:23 GMT 2023","Fri Dec 01 16:43:23 GMT 2023","23","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Fri Dec 01 16:43:22 GMT 2023","Fri Dec 01 16:43:23 GMT 2023","1569","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Fri Dec 01 16:43:12 GMT 2023","Fri Dec 01 16:43:16 GMT 2023","3647","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","calcTest","calcTest",""
"passed","Mon Nov 27 17:27:34 GMT 2023","Mon Nov 27 17:27:38 GMT 2023","4031","Command line suite","Command line test","exampleForYourSite1.exampleForYourSite.GooglePageTest","exampleForYourSite1.exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Fri Dec 01 16:43:19 GMT 2023","Fri Dec 01 16:43:20 GMT 2023","1303","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Fri Dec 01 16:43:17 GMT 2023","Fri Dec 01 16:43:19 GMT 2023","1290","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Mon Nov 27 17:27:38 GMT 2023","Mon Nov 27 17:27:38 GMT 2023","80","Command line suite","Command line test","exampleForYourSite1.exampleForYourSite.GooglePageTest","exampleForYourSite1.exampleForYourSite.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Mon Nov 27 17:51:02 GMT 2023","Mon Nov 27 17:51:03 GMT 2023","1861","Default Suite","PomTests","exampleForYourSite1.exampleForYourSite.GooglePageTest","exampleForYourSite1.exampleForYourSite.GooglePageTest","firstTest","firstTest",""
"passed","Fri Dec 01 16:43:16 GMT 2023","Fri Dec 01 16:43:17 GMT 2023","1582","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","exampleSimpleTest","exampleSimpleTest",""
"passed","Fri Dec 01 16:43:17 GMT 2023","Fri Dec 01 16:43:17 GMT 2023","9","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","firstTest","firstTest",""
