"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 16:49:52 GMT 2023","Mon Nov 27 16:49:52 GMT 2023","25","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Mon Nov 27 16:49:47 GMT 2023","Mon Nov 27 16:49:47 GMT 2023","584","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","firstTest","firstTest",""
"passed","Mon Nov 27 16:49:46 GMT 2023","Mon Nov 27 16:49:46 GMT 2023","128","Command line suite","Command line test","exampleForYourSite1.exampleForYourSite.GooglePageTest","exampleForYourSite1.exampleForYourSite.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Mon Nov 27 16:49:49 GMT 2023","Mon Nov 27 16:49:49 GMT 2023","57","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Mon Nov 27 16:49:50 GMT 2023","Mon Nov 27 16:49:52 GMT 2023","1777","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Mon Nov 27 16:49:44 GMT 2023","Mon Nov 27 16:49:46 GMT 2023","1975","Command line suite","Command line test","exampleForYourSite1.exampleForYourSite.GooglePageTest","exampleForYourSite1.exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Mon Nov 27 16:49:41 GMT 2023","Mon Nov 27 16:49:44 GMT 2023","2847","Command line suite","Command line test","exampleForYourSite1.exampleForYourSite.GooglePageTest","exampleForYourSite1.exampleForYourSite.GooglePageTest","firstTest","firstTest",""
"passed","Mon Nov 27 16:49:47 GMT 2023","Mon Nov 27 16:49:49 GMT 2023","1742","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Mon Nov 27 16:49:50 GMT 2023","Mon Nov 27 16:49:50 GMT 2023","655","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","firstTest","firstTest",""
